Должность,Компания,Адрес,Ссылка 
['Старший разработчик Python/Go', 'ООО\xa0«РУСАГРО»', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73051406?from=vacancy_search_list&query=python']
['QA Engineer / Тестировщик системного ПО', 'Протей', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72186209?from=vacancy_search_list&query=python']
['Senior Python разработчик (PT Sandbox)', 'Positive Technologies', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72137568?from=vacancy_search_list&query=python']
['Full Stack Python/JS разработчик', 'Радиофид', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72752951?from=vacancy_search_list&query=python']
['Middle Python разработчик', 'Московский Кредитный Банк. ИТ-специалисты', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72940395?from=vacancy_search_list&query=python']
['Разработчик Python (backend)', 'Первый Бит', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72255042?from=vacancy_search_list&query=python']
['Python backend Middle/Senior developer', 'PENA', 'Брянск', 'https://prokopyevsk.hh.ru/vacancy/69278697?from=vacancy_search_list&query=python']
['Программист Python', 'ООО\xa0ARHAT HOLDING', 'Ташкент', 'https://prokopyevsk.hh.ru/vacancy/72127335?from=vacancy_search_list&query=python']
['Lead Python Developer (Machine Learning)', 'ООО\xa0ВЭБ Технологии', 'Минск', 'https://prokopyevsk.hh.ru/vacancy/68733287?from=vacancy_search_list&query=python']
['Data engineer (junior)', 'Rambler&Co', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71435995?from=vacancy_search_list&query=python']
['DevOps engineer', 'билайн: ИТ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72375212?from=vacancy_search_list&query=python']
['Data-инженер', 'Тинькофф', 'Астана', 'https://prokopyevsk.hh.ru/vacancy/71766910?from=vacancy_search_list&query=python']
['Разработчик Python', 'Детский Хоспис Дом с маяком', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72409237?from=vacancy_search_list&query=python']
['Backend разработчик python', 'ПАО «Газпром нефть»', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72688659?from=vacancy_search_list&query=python']
['Преподаватель программирования Python в детском центре "Инжинириум МГТУ им.Баумана"', 'Инжинириум МГТУ им.Н.Э.Баумана', 'Королев', 'https://prokopyevsk.hh.ru/vacancy/71959126?from=vacancy_search_list&query=python']
